filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
pannel0.png,3250768,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,0,"{""name"":""circle"",""cx"":1189,""cy"":441,""r"":71}","{""name"":""aux"",""type"":""aux""}"
pannel0.png,3250768,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,1,"{""name"":""rect"",""x"":713,""y"":720,""width"":212,""height"":159}","{""name"":""usb"",""type"":""usb""}"
pannel0.png,3250768,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,2,"{""name"":""circle"",""cx"":1100,""cy"":800,""r"":61}","{""name"":""dc power\n"",""type"":""dc power""}"
pannel1.png,3160925,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,0,"{""name"":""rect"",""x"":705,""y"":717,""width"":220,""height"":167}","{""name"":""usb"",""type"":""usb""}"
pannel1.png,3160925,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,1,"{""name"":""circle"",""cx"":1098,""cy"":809,""r"":53.939}","{""name"":""dc power"",""type"":""dc power""}"
pannel1.png,3160925,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,2,"{""name"":""circle"",""cx"":1186,""cy"":440,""r"":72.436}","{""name"":""aux"",""type"":""aux""}"
pannel2.png,3153321,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,0,"{""name"":""circle"",""cx"":1191,""cy"":445,""r"":79.426}","{""name"":""aux"",""type"":""aux""}"
pannel2.png,3153321,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,1,"{""name"":""circle"",""cx"":1089,""cy"":848,""r"":66.599}","{""name"":""dc power"",""type"":""dc power""}"
pannel2.png,3153321,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,2,"{""name"":""rect"",""x"":666,""y"":766,""width"":209,""height"":163}","{""name"":""usb"",""type"":""usb""}"
pannel3.png,3164694,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,0,"{""name"":""rect"",""x"":685,""y"":763,""width"":174,""height"":151}","{""name"":""usb"",""type"":""usb""}"
pannel3.png,3164694,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,1,"{""name"":""circle"",""cx"":1193,""cy"":446,""r"":83.113}","{""name"":""aux"",""type"":""aux""}"
pannel3.png,3164694,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,2,"{""name"":""circle"",""cx"":1096,""cy"":852,""r"":55}","{""name"":""dc power"",""type"":""dc power""}"
pannel4.png,3321251,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,0,"{""name"":""rect"",""x"":654,""y"":759,""width"":232,""height"":178}","{""name"":""usb"",""type"":""usb""}"
pannel4.png,3321251,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,1,"{""name"":""circle"",""cx"":1192,""cy"":433,""r"":80}","{""name"":""aux"",""type"":""aux""}"
