pannel0.png,1103,522,1291,710,dc power
pannel1.png,1147,373,1343,549,dc power
pannel2.png,1172,442,1360,633,dc power
pannel3.png,1216,418,1369,564,dc power
pannel4.png,1062,390,1169,540,dc power
pannel5.png,1287,402,1376,519,dc power
pannel6.png,1181,489,1347,615,dc power
pannel7.png,1365,572,1457,688,dc power
pannel8.png,1145,451,1274,591,dc power
pannel9.png,1123,424,1248,547,dc power
pannel10.png,1219,376,1425,584,dc power
pannel11.png,1234,435,1390,584,dc power
pannel12.png,1231,430,1404,596,dc power
pannel13.png,1237,436,1398,586,dc power
pannel14.png,1219,432,1418,593,dc power
pannel15.png,1234,435,1395,581,dc power
pannel16.png,1225,430,1409,593,dc power
pannel17.png,1225,468,1463,682,dc power
pannel18.png,1247,453,1432,671,dc power
pannel19.png,1241,465,1435,683,dc power
pannel20.png,1238,460,1446,680,dc power
pannel21.png,1234,471,1436,668,dc power
pannel22.png,1226,462,1453,671,dc power
pannel23.png,1225,454,1442,671,dc power
pannel24.png,1231,459,1436,664,dc power
pannel25.png,1244,463,1437,668,dc power
pannel26.png,1229,465,1453,673,dc power
pannel27.png,1234,469,1442,666,dc power
pannel28.png,1243,465,1430,661,dc power
pannel29.png,1231,465,1437,677,dc power
pannel30.png,1223,459,1447,671,dc power
pannel31.png,1228,460,1436,669,dc power
pannel32.png,1234,463,1434,675,dc power
pannel33.png,1037,549,1145,698,dc power
pannel34.png,1026,549,1158,702,dc power
pannel35.png,1037,554,1142,694,dc power
pannel36.png,1037,548,1144,704,dc power
pannel37.png,1034,549,1145,695,dc power
pannel38.png,1035,548,1142,700,dc power
pannel39.png,1163,581,1359,795,dc power
pannel40.png,1165,579,1350,776,dc power
pannel41.png,1162,581,1356,778,dc power
pannel42.png,1156,576,1364,791,dc power
pannel43.png,1151,572,1363,789,dc power
pannel44.png,1159,570,1359,788,dc power
pannel45.png,1172,588,1354,781,dc power
pannel46.png,1151,576,1375,785,dc power
pannel47.png,1169,627,1363,820,dc power
pannel48.png,1174,627,1364,827,dc power
pannel49.png,1165,627,1371,826,dc power
pannel50.png,1157,620,1378,835,dc power
pannel51.png,1148,617,1375,840,dc power
pannel52.png,1172,611,1369,840,dc power
pannel53.png,1169,617,1363,834,dc power
pannel54.png,1168,614,1365,823,dc power
pannel55.png,1157,623,1363,808,dc power
pannel56.png,1169,608,1372,837,dc power
pannel57.png,1166,611,1375,828,dc power
pannel58.png,1153,612,1371,836,dc power
pannel59.png,1163,621,1366,824,dc power
pannel60.png,1156,623,1379,825,dc power
pannel61.png,1168,623,1373,819,dc power
pannel62.png,1157,627,1389,821,dc power
pannel63.png,1163,618,1366,826,dc power
pannel64.png,1171,617,1368,825,dc power
pannel65.png,1150,609,1382,827,dc power
pannel66.png,1172,627,1368,812,dc power
pannel67.png,1162,618,1379,829,dc power
pannel68.png,1168,618,1362,820,dc power
